Name,H,S,V,blank,CDOM,comparison,Date,blank,b1/v,b5/v,b1/s,b5/s,b5/(b2*s),B5/(B1*s),b5/(b2*v),b5/(b1*v),b5/b2,b5/b1,b5/(b2*b1),(b5*s)/(b2*v),(b5*s)/(b1*v),(b5*v)/(b2*s),(b5*v)/(b1*s),B5/(V*S),B1/(V*S),H,s,v,s*v,s/v,B1,B2,B3,b4,b5,B6,B7,b3/b1,b2/b1,b3/b2,b4/b1,b4/b2,b4/b3,,B1.Over.B1,B2.Over.B1,B3.Over.B1,B4.Over.B1,B5.Over.B1,B6.Over.B1,B7.Over.B1,B1MinusB1,B2MinusB1,B3MinusB2,B4MinusB3,B5MinusB4,B6MinusB5,B7MinusB6
Lac St-Pe,0,0,0,,0.23,0,11.p19r25d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.65,0.004,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,163.27,163.5,172.24,118.61,105.59,36.96,18.88,1.05,1,1.05,0.73,0.73,0.69,,1,1,1.05,0.73,0.65,0.23,0.12,0,0.23,8.74,-53.63,-13.02,-68.64,-18.08
Lac St-Pe,154.1101533,46.65516298,1.100517,,0.23,1.100517,3.p19r25d267y2013,,64.27,56.38,1.52,1.33,0.01513,0.019,0.641,0.797,0.71,0.88,0.01,29.93,37.19,0.017,0.021,1.21,1.38,154.11,46.66,1.1,51.34,42.39,70.73,87.9,110.05,58.71,62.05,23.69,11.59,1.56,1.24,1.25,0.83,0.67,0.53,,1,1.24,1.56,0.83,0.88,0.33,0.16,0,17.16,22.16,-51.34,3.34,-38.36,-12.1
Lac St-Pe,0,0,0,,0.23,0,6.p19r25d235y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.96,0.013,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,61.92,74.01,95.07,47.78,59.44,21.58,9.23,1.54,1.2,1.28,0.77,0.65,0.5,,1,1.2,1.54,0.77,0.96,0.35,0.15,0,12.09,21.06,-47.28,11.66,-37.86,-12.34
Lac St-Pe,0,0,0,,0.23,0,7.p18r25d260y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.73,0.0091,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,54.2,80.34,85.42,28.31,39.6,18.36,9.04,1.58,1.48,1.06,0.52,0.35,0.33,,1,1.48,1.58,0.52,0.73,0.34,0.17,0,26.14,5.08,-57.12,11.3,-21.24,-9.32
Lac St-Pe,0,0,0,,0.23,0,8.p18r25d295y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.41,0.0056,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,43.68,73.99,69.38,33.34,18.01,12.43,7.02,1.59,1.69,0.94,0.76,0.45,0.48,,1,1.69,1.59,0.76,0.41,0.28,0.16,0,30.31,-4.61,-36.04,-15.33,-5.58,-5.41
Lac John,0,0,0,,0.23,0,12.p19r26d283y2013,,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.37,0.0112,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,107.15,122.25,136.83,99.85,147.21,92.62,63.57,1.28,1.14,1.12,0.93,0.82,0.73,,1,1.14,1.28,0.93,1.37,0.86,0.59,0,15.11,14.57,-36.97,47.35,-54.59,-29.05
Lac John,160.0965727,41.30023309,0.9117273,,0.23,0.9117273,2.p19r26d267y2013,,73.12,72.29,1.61,1.6,0.02028,0.024,0.919,1.084,0.84,0.99,0.0126,37.95,44.79,0.018,0.022,1.75,1.77,160.1,41.3,0.91,37.65,45.3,66.66,78.68,91.17,53.52,65.91,26.63,14.35,1.37,1.18,1.16,0.8,0.68,0.59,,1,1.18,1.37,0.8,0.99,0.4,0.22,0,12.02,12.49,-37.65,12.39,-39.28,-12.27
Lac John,0,0,0,,0.23,0,5.p19r26d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.94,0.0073,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,119.53,128.36,136.53,84.09,112.38,39.05,18.83,1.14,1.07,1.06,0.7,0.66,0.62,,1,1.07,1.14,0.7,0.94,0.33,0.16,0,8.84,8.16,-52.44,28.29,-73.33,-20.23
Lac Fumeton,18.37294333,57.49421905,3.730980392,,0.35,3.730980392,1.p18r26d260y2013,,42.51,22.38,2.76,1.45,0.00648,0.009,0.1,0.141,0.37,0.53,0.0023,5.74,8.11,0.024,0.034,0.39,0.74,18.37,57.49,3.73,214.51,15.41,158.61,224.29,373.11,380.4,83.52,13.14,5.55,2.35,1.41,1.66,2.4,1.7,1.02,,1,1.41,2.35,2.4,0.53,0.08,0.04,0,65.68,148.82,7.29,-296.89,-70.38,-7.59
Lac Fumeton,18.37294333,57.49421905,3.730980392,,0.35,3.730980392,12.p19r26d283y2013,,54.46,40.72,3.53,2.64,0.00929,0.013,0.143,0.2,0.53,0.75,0.0026,8.23,11.52,0.035,0.049,0.71,0.95,18.37,57.49,3.73,214.51,15.41,203.18,284.45,452.99,465.97,151.93,61.79,43.66,2.23,1.4,1.59,2.29,1.64,1.03,,1,1.4,2.23,2.29,0.75,0.3,0.21,0,81.27,168.54,12.98,-314.04,-90.14,-18.13
